epoch,train_loss,train_acc,val_loss,val_acc
1,1.3549801573944091,0.50214,1.2062824645996093,0.5805
2,0.9082690554046631,0.67778,0.8585577863693238,0.6988
3,0.7226181594467163,0.75162,0.8103767110824585,0.7305
4,0.5865316761207581,0.79874,0.6499263373374939,0.7744
5,0.47514594537734983,0.83852,0.6521470309257508,0.7879
6,0.38133009029388426,0.87034,0.6407963311195374,0.7954
7,0.2916967952156067,0.90048,0.5753177426338196,0.8151
8,0.22013460648298264,0.9242,0.6279142425060272,0.8139
9,0.16741544244289397,0.9422,0.6704567859649658,0.8069
10,0.13451825144410134,0.95356,0.7714497576713562,0.802
