epoch,train_loss,train_acc,val_loss,val_acc
1,1.464919396548801,0.45664444444444446,1.2390895963668824,0.5724
2,1.0708994134055243,0.6127111111111111,1.0541203905105592,0.6418
3,0.9170509943220351,0.6724444444444444,0.9126329969406128,0.6766
4,0.819767665110694,0.7079111111111112,0.7752919911384583,0.7258
5,0.7366836249987284,0.744,0.723625733757019,0.75
6,0.6781364429897733,0.7659777777777778,0.6477082777023315,0.7786
7,0.6307593630048963,0.7814444444444445,0.6455559886455536,0.7796
8,0.5876896609518263,0.7958222222222222,0.5478472275733948,0.8098
9,0.5563417026307848,0.8093777777777778,0.5292840621948243,0.8142
10,0.5302354739507039,0.8171333333333334,0.5621896343708038,0.8096
11,0.5003116154670715,0.8282444444444444,0.48718303627967835,0.8316
12,0.4834606873459286,0.8314,0.5200322170257569,0.8188
