epoch,train_loss,train_acc,val_loss,val_acc
1,1.6618874442206488,0.4552222222222222,1.5554239994049073,0.5254
2,1.3559904349856906,0.618,1.3339125114440917,0.6362
3,1.2433803573608397,0.6750444444444444,1.2558964477539063,0.6754
4,1.1641906881332398,0.7134444444444444,1.2124273052215577,0.6922
5,1.1035298094431558,0.7468222222222223,1.0631784255027772,0.754
6,1.0593333048290676,0.7698888888888888,1.200804836654663,0.7128
7,1.0200334994210136,0.7867555555555555,1.181661309337616,0.7124
8,0.9922423161400689,0.7983111111111111,0.9443997205734252,0.814
9,0.9689341837353177,0.8102666666666667,0.9436484636306762,0.8102
10,0.9487700794855753,0.8196,0.928496671295166,0.826
11,0.9309250298711989,0.8273111111111111,0.968430009841919,0.7978
12,0.9128965397516886,0.8341333333333333,0.9533585550308228,0.8142
