epoch,train_loss,train_acc,val_loss,val_acc,backbone_lr,head_lr
1,1.2200029534869723,0.6902888888888888,0.7355467221260071,0.9172,0.00019945218953682734,0.0009972609476841367
2,0.9388624763700697,0.8160222222222222,0.687994063949585,0.9312,0.00019781476007338058,0.0009890738003669028
3,0.866554258717431,0.8493555555555555,0.6687630484580994,0.941,0.00019510565162951537,0.0009755282581475768
4,0.8246723355823093,0.8649333333333333,0.6451809836387634,0.9434,0.00019135454576426006,0.0009567727288213003
5,0.7968828622606066,0.879,0.6312725237846375,0.9546,0.00018660254037844388,0.0009330127018922195
6,0.7754167342503866,0.8860666666666667,0.6373594602584839,0.9476,0.00018090169943749476,0.0009045084971874739
7,0.7611360787497626,0.8911777777777777,0.6351230306625366,0.9498,0.00017431448254773944,0.0008715724127386972
8,0.7438729426701863,0.8994888888888889,0.6206527132034302,0.9532,0.00016691306063588583,0.0008345653031794292
9,0.7306255231963263,0.9063333333333333,0.6250375673294067,0.956,0.00015877852522924732,0.0007938926261462366
10,0.7256643704838223,0.9079111111111111,0.6087489850044251,0.9592,0.00015000000000000001,0.00075
11,0.7063931525442335,0.9157111111111111,0.6066028415679932,0.9586,0.00014067366430758007,0.0007033683215379003
12,0.6921253398153517,0.9218888888888889,0.6000255821228028,0.9638,0.00013090169943749476,0.0006545084971874739
13,0.6875303292804295,0.9228222222222222,0.5982432653427124,0.9612,0.00012079116908177594,0.0006039558454088797
14,0.6756238238228692,0.9288222222222222,0.5946611867904663,0.9632,0.00011045284632676538,0.0005522642316338269
15,0.6634913548151652,0.9340888888888889,0.5930328128814697,0.9656,0.00010000000000000005,0.0005000000000000002
16,0.658226642841763,0.9364222222222223,0.5962111364364624,0.9642,8.954715367323469e-05,0.0004477357683661734
17,0.6518916818830702,0.9380888888888889,0.5911213596343994,0.9648,7.920883091822407e-05,0.00039604415459112036
18,0.6500999052153693,0.9390444444444445,0.5883838480949402,0.967,6.909830056250527e-05,0.0003454915028125264
19,0.6405865163909065,0.9432,0.5814331500053406,0.9696,5.9326335692419995e-05,0.0002966316784621
20,0.6322119894663493,0.9471777777777778,0.5776489044189453,0.9726,5.0000000000000036e-05,0.00025000000000000017
21,0.629824535285102,0.9484888888888889,0.5772903347015381,0.972,4.122147477075271e-05,0.00020610737385376354
22,0.6253299926757813,0.9493555555555555,0.5770300857543945,0.9696,3.308693936411422e-05,0.00016543469682057108
23,0.6182512134657966,0.9523777777777778,0.5766154883384704,0.9706,2.5685517452260594e-05,0.00012842758726130298
24,0.6131672317504883,0.9557333333333333,0.5749457455635071,0.9708,1.9098300562505273e-05,9.549150281252637e-05
25,0.6104192209455702,0.9558666666666666,0.5726314434051514,0.9708,1.3397459621556136e-05,6.698729810778068e-05
26,0.612731686676873,0.9540222222222222,0.5734460785865784,0.972,8.645454235739906e-06,4.322727117869953e-05
27,0.6077599877039591,0.9567333333333333,0.571017938041687,0.9722,4.894348370484648e-06,2.447174185242324e-05
28,0.6035122050603231,0.9592222222222222,0.5704432290077209,0.9726,2.185239926619432e-06,1.092619963309716e-05
29,0.6070538438585069,0.9578888888888889,0.5701990997314453,0.9724,5.478104631726601e-07,2.7390523158633003e-06
30,0.6058333461337619,0.9575333333333333,0.5710670001983642,0.9708,0.0,0.0
