epoch,train_loss,train_acc,val_loss,val_acc
1,1.622445944442749,0.39368,1.318940241241455,0.5135
2,1.1803536247253419,0.56998,1.0617678146362304,0.6126
3,0.9623329875946045,0.65324,0.8813951978683472,0.687
4,0.7883669691085815,0.71974,0.8402404760360718,0.7048
5,0.6393555005264282,0.77416,0.7296910403251647,0.7463
6,0.5053320868396759,0.82288,0.767067819404602,0.7461
7,0.38312421639442445,0.86906,0.7333330718040466,0.7658
8,0.2752841373634338,0.9033,0.74560023021698,0.7702
9,0.1925600608921051,0.93282,0.8331337623596191,0.7693
10,0.12771610829949379,0.9554,0.8970583488464355,0.7665
