epoch,train_loss,train_acc,val_loss,val_acc
1,1.1935627975082397,0.5709,1.0223166743278504,0.6388
2,0.7861159588623047,0.72436,0.7584841083526611,0.7346
3,0.6147801440238952,0.78862,0.6882461213111878,0.7646
4,0.4976598997116089,0.82746,0.6826319293022156,0.7649
5,0.39432800980567934,0.86582,0.7323450222969056,0.765
6,0.31150026841163636,0.89352,0.6407302913665771,0.7937
7,0.23729865565776825,0.91834,0.6516750794410705,0.8052
8,0.18083486566066742,0.93718,0.7559085997581482,0.786
9,0.13984584303200245,0.95128,0.6746345269680023,0.8129
10,0.11941826314449311,0.95844,0.7293592453956604,0.8081
