epoch,train_loss,train_acc,val_loss,val_acc
1,1.4091849573771158,0.47933333333333333,1.2579261699676514,0.5516
2,1.0014070141262479,0.6402,1.0724605541229248,0.6316
3,0.8313795166333516,0.7059111111111112,1.057047173500061,0.6496
4,0.7214416279686822,0.7503777777777778,0.7652876756668091,0.7526
5,0.633161497285631,0.7833333333333333,0.6377319398880005,0.7868
6,0.5757834067291684,0.8039111111111111,0.6056897664070129,0.789
7,0.524641410308414,0.8214,0.7950471397399902,0.742
8,0.4860450259844462,0.8360222222222222,0.48497276649475096,0.8326
9,0.4570570165899065,0.8462,0.47140070009231566,0.842
10,0.4299899267196655,0.8529777777777777,0.4421121923923492,0.8498
11,0.4075585314273834,0.8621777777777778,0.4928974180698395,0.8354
12,0.38262230812973447,0.8698666666666667,0.4805261339187622,0.8434
