epoch,train_loss,train_acc,val_loss,val_acc
1,2.3061162676239015,0.0996,2.3026615711212157,0.1
2,2.302828652114868,0.09866,2.3026781520843507,0.1
3,2.302807436981201,0.09776,2.3026934097290037,0.1
4,2.3028347269439697,0.09784,2.3027037525177003,0.1
5,2.3028144987487793,0.09756,2.3027691608428955,0.1
6,2.302841541824341,0.09796,2.3026803260803224,0.1
7,2.3028538638305664,0.0971,2.3026622859954835,0.1
8,2.3027844245147704,0.09924,2.3027900718688965,0.1
9,2.302899995651245,0.09868,2.3026740657806397,0.1
10,2.302821671676636,0.0987,2.3026798042297365,0.1
