epoch,train_loss,train_acc,val_loss,val_acc
1,1.5873125394821166,0.38728,1.2507473184585571,0.5433
2,1.0528731755828857,0.62446,0.9092637333869934,0.6823
3,0.7834579512023926,0.72622,0.7776208775520325,0.7346
4,0.6145647484588623,0.7874,0.7672668718338013,0.7424
5,0.48327788007736205,0.834,0.6888551093101501,0.776
6,0.36675279688835144,0.875,0.7934620666503907,0.763
7,0.27553899409770966,0.90624,0.789395769739151,0.7798
8,0.20905888054847718,0.92858,0.8079433283329011,0.7758
9,0.16282797794103623,0.94468,0.8989467590332031,0.7722
10,0.1350114612430334,0.9547,1.03467349319458,0.7734
