epoch,train_loss,train_acc,val_loss,val_acc
1,1.49393189163208,0.44722222222222224,1.7391693635940553,0.4872
2,1.0916643147786458,0.6078666666666667,0.9309873729705811,0.6718
3,0.9444956798765395,0.6648444444444445,1.0944990823745728,0.6384
4,0.8403126727845933,0.7010666666666666,0.8405205137252808,0.7104
5,0.7652092485004002,0.7331555555555556,0.8226223819732666,0.7196
6,0.7021228549957276,0.7586222222222222,0.8029730303287506,0.7356
7,0.6539802571296692,0.7755555555555556,0.9164429957389831,0.71
8,0.6076842386457655,0.7916,0.5926782958269119,0.8
9,0.5766602132108476,0.8024444444444444,0.627110374546051,0.7924
10,0.5514203103913201,0.8114444444444444,0.6256354352235795,0.7972
11,0.5248901783519321,0.8212,0.522865359210968,0.8188
12,0.5018037672572666,0.8316666666666667,0.5351558671474457,0.8146
