epoch,train_loss,train_acc,val_loss,val_acc
1,1.4923330597771538,0.44655555555555554,1.6273409994125365,0.4998
2,1.0882258055157132,0.6082,0.882820724105835,0.6858
3,0.9342056293063694,0.6661555555555555,0.9299215362548828,0.6868
4,0.8308726694424947,0.7064222222222222,0.8320758018493652,0.7112
5,0.7572998090002272,0.7350888888888889,0.6737003460884095,0.768
6,0.6964707673602634,0.7603555555555556,0.9054994721412659,0.7114
7,0.6486816390567356,0.7768,0.6837256937980651,0.7676
8,0.6087158662584092,0.7908444444444445,0.5844496926546097,0.7946
9,0.5766430965900421,0.8030666666666667,0.5750001347541809,0.806
10,0.550962519815233,0.8116222222222222,0.5382157237052917,0.8224
11,0.5241117224905226,0.8212,0.5242756261348724,0.8242
12,0.5020507370736864,0.8290888888888889,0.607786359834671,0.7988
