epoch,train_loss,train_acc,val_loss,val_acc
1,1.2699944988632201,0.54382,1.0073925266265868,0.6429
2,0.853177508392334,0.6993,0.8686912386894227,0.6954
3,0.6429830534553528,0.77352,0.8001218182563782,0.7251
4,0.4779798718452454,0.83432,0.8708693929672241,0.7157
5,0.346269362077713,0.87826,0.890057642173767,0.7242
6,0.24521827819824218,0.91394,1.1102513276100159,0.6906
7,0.1805209368300438,0.93648,1.008241030883789,0.7244
8,0.1439828193116188,0.94898,0.9977506227016449,0.7385
9,0.12547680750370024,0.95688,0.9886863145828247,0.7468
10,0.10667152330517769,0.96268,1.0847044657707214,0.7367
