family,lr,param_count,best_val_acc,elapsed_sec,steps
vgg_a,0.0001,9750922,0.7702,470.78913974761963,7820
vgg_a,0.0005,9750922,0.7798,488.4633677005768,7820
vgg_a,0.001,9750922,0.7581,483.31877160072327,7820
vgg_a,0.002,9750922,0.1,466.80082154273987,7820
vgg_a_bn,0.0001,9754698,0.7468,479.80726766586304,7820
vgg_a_bn,0.0005,9754698,0.8129,433.25712847709656,7820
vgg_a_bn,0.001,9754698,0.8291,331.9607746601105,7820
vgg_a_bn,0.002,9754698,0.8151,446.94319915771484,7820
