epoch,train_loss,train_acc,val_loss,val_acc
1,1.5148135125690037,0.43177777777777776,1.4645165744781494,0.5068
2,1.08766831307941,0.6099777777777777,1.1812253746032715,0.5914
3,0.9115296870443556,0.678,1.0769190912246704,0.6504
4,0.8079034460279677,0.7182,0.8047646200180054,0.7226
5,0.7335136932796902,0.7470666666666667,0.6851858552932739,0.7698
6,0.682275996462504,0.7675777777777778,0.7061438535690308,0.7604
7,0.6396967355834113,0.7828666666666667,0.9728999417304993,0.7072
8,0.6074406006601122,0.7942666666666667,0.6000210936546325,0.794
9,0.5833653776751624,0.8033777777777777,0.7225711433410644,0.7678
10,0.5646617241329617,0.8106666666666666,0.7203480320930481,0.7706
11,0.5467817586157057,0.8148222222222222,0.6675372105598449,0.786
12,0.5342803274472554,0.8206888888888889,0.7010387429714203,0.7614
