epoch,train_loss,train_acc,val_loss,val_acc
1,1.71568619972229,0.33004,1.4187340564727784,0.4727
2,1.230685435066223,0.55106,1.0803287084579467,0.6136
3,0.9504816689491272,0.66516,0.9059801950454712,0.6832
4,0.7835051123046874,0.72916,0.8402024122238159,0.7123
5,0.6591807638931274,0.77238,0.829365761756897,0.7248
6,0.5638440263175964,0.80692,0.8176001235961914,0.7378
7,0.48648933095932007,0.83392,0.7849543544769287,0.7548
8,0.4114422035598755,0.86168,0.851167240524292,0.7419
9,0.36231328834533694,0.87726,0.795982876586914,0.758
10,0.3067360263633728,0.8965,0.9044098639488221,0.7581
